"match_id","puuid","challenger","galaxy","placement","game_datetime","Astro","Chrono","DarkStar","Set3_Celestial","Set3_Mystic","Sniper","Vanguard","Cybernetic","Infiltrator","ManaReaver","Battlecast","Blaster","Set3_Brawler","Rebel","Starship","Demolitionist","Mercenary","Set3_Blademaster","Paragon","Protector","Set3_Sorcerer","StarGuardian","MechPilot","SpacePirate"
"NA1_3569517250","7AKHCtexkJJo8p04lg4shtx7n7R-uH6pQwPhBCEofkIJca-uZCFHGR9ha6lVzOSiE7J9hrUBPvWztg",0,"Treasure Trove",1,2020-09-10 05:18:02,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NA1_3569517250","0StQeXmDacsAikvEcY2ubarDZqzlEsaYsZHO6UT-UgBFY73niu7LN9uCrAUyhCaJopXJfWL1I-4rOw",0,"Treasure Trove",2,2020-09-10 05:18:02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0
"NA1_3569517250","Y0emdKI096n9-Rb0L4_I4pP_tmn_kwCtKiEjIsBRrxRqX_KHm6rIYzGY1OZQi9PTTrkIJVaBtG99Sg",1,"Treasure Trove",3,2020-09-10 05:18:02,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0
"NA1_3569517250","1vCCOdxLrdYa6NQRhywKKdZ0UNdX0nsa15Zpqo03k6QFs6MfiucFcTvTfyubW2cgGuyF4g0RYA1wag",1,"Treasure Trove",4,2020-09-10 05:18:02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0
"NA1_3569517250","mC0hMfKYhejc1U1aJE7iTOTn6TUDkY4apfQhdw2Pvp_jV3tlEs0DFEr4FQUMWoDXqiy2Ji9LI5wZYg",0,"Treasure Trove",5,2020-09-10 05:18:02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"NA1_3569517250","zm68Kgbx3LwxS_dIjc7DlWhINcebcV3V-fAY-_KENlOwuFlFfZnpZWpQrBjuAK59xxK-ZT1eR27DWQ",0,"Treasure Trove",6,2020-09-10 05:18:02,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"NA1_3569517250","xc6EBuXkoFQmP_QVAo4ypbApt-1PIHK-zNrcKUNDuxW6geBPf9_FaoOWAPwAN8vNO7cpkucfBhMvdA",0,"Treasure Trove",7,2020-09-10 05:18:02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0
"NA1_3569517250","wXYDyRXtDIxEadFZcC_76m-YrKZVkg0ZpeeKnodtzywMPVc-tQujuLHsidLvgxEgEtZZnXbkkt9uVg",0,"Treasure Trove",8,2020-09-10 05:18:02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"NA1_3569539649","dps_KPanlLWtHo5dKUO7ZbMkmdseXXicmu3pPIjiwRvgtVcQb3tfS0GfzzHXukHvlsuwD67QcqgL2g",0,"Big Bang",1,2020-09-10 05:38:38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,0,0
"NA1_3569539649","VD_Fd3r3mqswhTiRxCKpsetMvf0pz-g_q6Tlsxy9cdjjffEnIyxtkTtqo13cIRT34Ya90I5sr2dqhA",0,"Big Bang",2,2020-09-10 05:38:38,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NA1_3569539649","oTeFt_Zca_JnIsAEWYeUv7UE2mSdOQFX4qhdVz3SaluF9kZaUt4Wk_O5MlYw3gqDswi3Chq77Vb9NA",1,"Big Bang",3,2020-09-10 05:38:38,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0
"NA1_3569539649","ZnM9tjyLSAauonRhqSrbRGrefh7Dr7ygXFfe06watEZC3TXHSRby9TREvF1IqqeAoWlpDeTQvL7ajA",0,"Big Bang",4,2020-09-10 05:38:38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0
"NA1_3569539649","-2CVLaMn9Rh3SLXNMlnxm1OKVoam9hAFS5rjjBMFM98DO-WhDOi4rMzwfoDFm9cE4dBQS-pHZrK9ww",0,"Big Bang",5,2020-09-10 05:38:38,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"NA1_3569539649","cRoQGZhQO0i5DbVlQ5ycITU-IxbaPWmGuOnyWAwZV1y9B6D8mt08yzorBTnn3bQOWonTU1NRPgN_pg",0,"Big Bang",6,2020-09-10 05:38:38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0
